label,precision,recall,f1,support,frequency
odorless,0.7272727272727273,0.8,0.7619047619047619,20,0.0411522633744856
sulfurous,0.6481481481481481,0.875,0.7446808510638298,40,0.0823045267489712
fruity,0.6079136690647482,0.8894736842105263,0.7222222222222222,190,0.39094650205761317
garlic,0.5789473684210527,0.9166666666666666,0.7096774193548387,12,0.024691358024691357
sandalwood,0.5,1.0,0.6666666666666666,4,0.00823045267489712
alliaceous,0.5238095238095238,0.8461538461538461,0.6470588235294118,13,0.026748971193415638
floral,0.5185185185185185,0.8596491228070176,0.6468646864686468,114,0.2345679012345679
sweet,0.5180722891566265,0.7962962962962963,0.6277372262773723,162,0.3333333333333333
chamomile,0.5,0.8,0.6153846153846154,5,0.0102880658436214
green,0.5067873303167421,0.7724137931034483,0.6120218579234973,145,0.29835390946502055
peach,0.7142857142857143,0.5,0.5882352941176471,10,0.0205761316872428
coumarinic,0.45454545454545453,0.8333333333333334,0.5882352941176471,6,0.012345679012345678
fruit skin,1.0,0.4,0.5714285714285714,5,0.0102880658436214
tomato,0.6666666666666666,0.5,0.5714285714285714,4,0.00823045267489712
orangeflower,0.5,0.6666666666666666,0.5714285714285714,3,0.006172839506172839
alcoholic,0.4444444444444444,0.8,0.5714285714285714,10,0.0205761316872428
waxy,0.4523809523809524,0.7755102040816326,0.5714285714285714,49,0.10082304526748971
citrus,0.4177215189873418,0.8461538461538461,0.559322033898305,39,0.08024691358024691
cognac,0.47058823529411764,0.6666666666666666,0.5517241379310345,12,0.024691358024691357
musk,0.5,0.6,0.5454545454545454,10,0.0205761316872428
sour,0.5,0.5714285714285714,0.5333333333333333,7,0.01440329218106996
roasted,0.4,0.8,0.5333333333333333,30,0.06172839506172839
ethereal,0.4074074074074074,0.7586206896551724,0.5301204819277109,29,0.059670781893004114
onion,0.4,0.7777777777777778,0.5283018867924528,18,0.037037037037037035
woody,0.4,0.7058823529411765,0.5106382978723404,68,0.13991769547325103
fatty,0.41304347826086957,0.6333333333333333,0.5,60,0.12345679012345678
tobacco,0.5,0.5,0.5,12,0.024691358024691357
bergamot,0.3333333333333333,1.0,0.5,3,0.006172839506172839
ketonic,0.6666666666666666,0.4,0.5,5,0.0102880658436214
coconut,0.3888888888888889,0.7,0.5,10,0.0205761316872428
medicinal,0.4444444444444444,0.5714285714285714,0.5,7,0.01440329218106996
apple,0.36363636363636365,0.7741935483870968,0.4948453608247423,31,0.06378600823045268
phenolic,0.4074074074074074,0.6111111111111112,0.4888888888888889,18,0.037037037037037035
meaty,0.3958333333333333,0.6333333333333333,0.48717948717948717,30,0.06172839506172839
cheesy,0.42424242424242425,0.56,0.4827586206896552,25,0.051440329218107
fermented,0.5,0.4375,0.4666666666666667,16,0.03292181069958848
aldehydic,0.36,0.6428571428571429,0.46153846153846156,14,0.02880658436213992
mint,0.3684210526315789,0.6086956521739131,0.45901639344262296,23,0.047325102880658436
pineapple,0.3611111111111111,0.6190476190476191,0.45614035087719296,21,0.043209876543209874
caramellic,0.38235294117647056,0.5652173913043478,0.45614035087719296,23,0.047325102880658436
honey,0.35714285714285715,0.625,0.45454545454545453,16,0.03292181069958848
malty,0.3333333333333333,0.6666666666666666,0.4444444444444444,3,0.006172839506172839
clove,0.4,0.5,0.4444444444444444,4,0.00823045267489712
lemon,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,0.018518518518518517
oily,0.3380281690140845,0.6153846153846154,0.43636363636363634,39,0.08024691358024691
nutty,0.34375,0.5945945945945946,0.43564356435643564,37,0.07613168724279835
cucumber,0.3333333333333333,0.6,0.42857142857142855,5,0.0102880658436214
