,layer,head,mean_abs_attn_diff
0,2,5,0.053986279852688314
1,2,6,0.04996045976877213
2,2,0,0.04722890947014093
3,2,4,0.04705189410597086
4,1,2,0.043352904822677375
5,2,10,0.04229904692620039
6,1,9,0.041018771659582856
7,2,9,0.04038091981783509
8,2,1,0.0400374723598361
9,1,8,0.038924229145050046
10,2,7,0.038078765664249656
11,2,11,0.03715261295437813
12,1,5,0.035629962012171744
13,2,2,0.0356071318499744
14,1,0,0.035293721966445445
15,2,3,0.0351490224711597
16,1,1,0.03414780870079994
17,1,4,0.03171074129641056
18,1,3,0.03133468786254525
19,1,10,0.030130860302597283
20,1,7,0.02969829011708498
21,0,10,0.028772577084600924
22,1,11,0.02782965786755085
23,1,6,0.02661012690514326
24,2,8,0.025869313813745975
25,0,6,0.01819058516994119
26,0,11,0.016424371488392354
27,0,2,0.015604991838335991
28,0,3,0.015481008170172571
29,0,1,0.014922988414764405
30,0,5,0.010020449664443732
31,0,7,0.008612032933160662
32,0,0,0.008460629056207836
33,0,8,0.006367747555486858
34,0,4,0.006182323698885739
35,0,9,0.0031407633097842334
