label,precision,recall,f1,support,frequency
alcoholic,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0,0.021526419
odorless,0.7894736842105263,0.75,0.7692307692307693,20.0,0.039138943
sulfurous,0.631578947368421,0.8780487804878049,0.7346938775510204,41.0,0.08023483
fruity,0.5,0.9463414634146341,0.654300168634064,205.0,0.40117416
cucumber,0.5,0.8,0.6153846153846154,5.0,0.009784736
musk,0.7,0.5384615384615384,0.6086956521739131,13.0,0.025440313
popcorn,0.5,0.75,0.6,4.0,0.007827789
woody,0.4722222222222222,0.75,0.5795454545454546,68.0,0.1330724
roasted,0.4406779661016949,0.8387096774193549,0.5777777777777777,31.0,0.06066536
fishy,0.6666666666666666,0.5,0.5714285714285714,8.0,0.015655577
clove,0.5,0.6666666666666666,0.5714285714285714,3.0,0.0058708414
smoky,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0,0.01369863
amber,0.5384615384615384,0.5833333333333334,0.56,12.0,0.023483366
green,0.39779005524861877,0.9290322580645162,0.5570599613152805,155.0,0.30332682
meaty,0.42105263157894735,0.8,0.5517241379310345,30.0,0.058708414
fatty,0.47560975609756095,0.65,0.5492957746478874,60.0,0.11741683
onion,0.39473684210526316,0.8333333333333334,0.5357142857142857,18.0,0.03522505
citrus,0.43859649122807015,0.6578947368421053,0.5263157894736842,38.0,0.07436399
ethereal,0.42,0.7,0.525,30.0,0.058708414
floral,0.3817427385892116,0.8363636363636363,0.5242165242165242,110.0,0.21526419
sweet,0.35924932975871315,0.864516129032258,0.5075757575757576,155.0,0.30332682
chamomile,0.4,0.6666666666666666,0.5,3.0,0.0058708414
garlic,0.4,0.6666666666666666,0.5,12.0,0.023483366
aldehydic,0.391304347826087,0.6428571428571429,0.4864864864864865,14.0,0.02739726
cognac,0.3333333333333333,0.8181818181818182,0.47368421052631576,11.0,0.021526419
phenolic,0.3793103448275862,0.6111111111111112,0.46808510638297873,18.0,0.03522505
coffee,0.4,0.5454545454545454,0.46153846153846156,11.0,0.021526419
pine,0.6,0.375,0.46153846153846156,8.0,0.015655577
beefy,0.4,0.5,0.4444444444444444,4.0,0.007827789
balsamic,0.3108108108108108,0.7666666666666667,0.4423076923076923,30.0,0.058708414
cheesy,0.4090909090909091,0.47368421052631576,0.43902439024390244,19.0,0.037181996
winey,0.3404255319148936,0.6153846153846154,0.4383561643835616,26.0,0.050880626
waxy,0.3409090909090909,0.6122448979591837,0.43795620437956206,49.0,0.09589041
nutty,0.38,0.5135135135135135,0.4367816091954023,37.0,0.072407044
cocoa,0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0,0.023483366
creamy,0.4444444444444444,0.42105263157894735,0.43243243243243246,19.0,0.037181996
hazelnut,0.3333333333333333,0.6,0.42857142857142855,5.0,0.009784736
coumarinic,0.375,0.5,0.42857142857142855,6.0,0.011741683
cinnamon,0.42857142857142855,0.42857142857142855,0.42857142857142855,7.0,0.01369863
orange,0.35714285714285715,0.5,0.4166666666666667,10.0,0.019569471
rose,0.3424657534246575,0.5319148936170213,0.4166666666666667,47.0,0.091976516
herbal,0.29444444444444445,0.6625,0.4076923076923077,80.0,0.15655577
celery,1.0,0.25,0.4,4.0,0.007827789
ketonic,0.3,0.6,0.4,5.0,0.009784736
melon,0.35294117647058826,0.46153846153846156,0.4,13.0,0.025440313
anisic,0.3125,0.5555555555555556,0.4,9.0,0.017612524
peach,0.6,0.3,0.4,10.0,0.019569471
sandalwood,1.0,0.25,0.4,4.0,0.007827789
rummy,0.36363636363636365,0.4444444444444444,0.4,9.0,0.017612524
banana,0.28125,0.6923076923076923,0.4,13.0,0.025440313
apple,0.27848101265822783,0.7096774193548387,0.4,31.0,0.06066536
pineapple,0.2727272727272727,0.7142857142857143,0.39473684210526316,21.0,0.04109589
caramellic,0.3235294117647059,0.4782608695652174,0.38596491228070173,23.0,0.045009784
vanilla,0.3333333333333333,0.45454545454545453,0.38461538461538464,11.0,0.021526419
earthy,0.37142857142857144,0.3939393939393939,0.38235294117647056,33.0,0.064579256
oily,0.29577464788732394,0.5384615384615384,0.38181818181818183,39.0,0.07632094
coconut,0.3333333333333333,0.4444444444444444,0.38095238095238093,9.0,0.017612524
vegetable,0.2909090909090909,0.5517241379310345,0.38095238095238093,29.0,0.056751467
spicy,0.29069767441860467,0.5434782608695652,0.3787878787878788,46.0,0.09001957
