label,precision,recall,f1,support,frequency
odorless,0.7391304347826086,0.85,0.7906976744186046,20.0,0.039138943
sulfurous,0.6333333333333333,0.926829268292683,0.7524752475247525,41.0,0.08023483
alcoholic,0.6923076923076923,0.8181818181818182,0.75,11.0,0.021526419
popcorn,0.5714285714285714,1.0,0.7272727272727273,4.0,0.007827789
fruity,0.5597667638483965,0.9365853658536586,0.7007299270072993,205.0,0.40117416
roasted,0.5652173913043478,0.8387096774193549,0.6753246753246753,31.0,0.06066536
amber,0.7,0.5833333333333334,0.6363636363636364,12.0,0.023483366
solvent,0.5,0.8333333333333334,0.625,6.0,0.011741683
fishy,0.8,0.5,0.6153846153846154,8.0,0.015655577
cucumber,0.5,0.8,0.6153846153846154,5.0,0.009784736
ethereal,0.5238095238095238,0.7333333333333333,0.6111111111111112,30.0,0.058708414
musk,0.7,0.5384615384615384,0.6086956521739131,13.0,0.025440313
woody,0.4774774774774775,0.7794117647058824,0.5921787709497207,68.0,0.1330724
green,0.4532871972318339,0.8451612903225807,0.5900900900900901,155.0,0.30332682
floral,0.43457943925233644,0.8454545454545455,0.5740740740740741,110.0,0.21526419
meaty,0.42857142857142855,0.8,0.5581395348837209,30.0,0.058708414
onion,0.3953488372093023,0.9444444444444444,0.5573770491803278,18.0,0.03522505
fatty,0.47619047619047616,0.6666666666666666,0.5555555555555556,60.0,0.11741683
sandalwood,0.42857142857142855,0.75,0.5454545454545454,4.0,0.007827789
sweet,0.3901734104046243,0.8709677419354839,0.5389221556886228,155.0,0.30332682
citrus,0.4153846153846154,0.7105263157894737,0.5242718446601942,38.0,0.07436399
vanilla,0.4375,0.6363636363636364,0.5185185185185185,11.0,0.021526419
garlic,0.37037037037037035,0.8333333333333334,0.5128205128205128,12.0,0.023483366
cinnamon,0.4444444444444444,0.5714285714285714,0.5,7.0,0.01369863
chocolate,0.38461538461538464,0.7142857142857143,0.5,7.0,0.01369863
lactonic,0.4444444444444444,0.5714285714285714,0.5,7.0,0.01369863
